from,to
6,0
0,6
7,0
0,7
1,7
7,1
1,8
8,1
2,8
8,2
9,3
3,9
10,3
3,10
4,10
10,4
11,4
4,11
12,6
6,12
7,12
12,7
13,7
7,13
13,8
8,13
8,14
14,8
14,9
9,14
15,9
9,15
10,15
15,10
29,23
23,29
19,12
12,19
18,12
12,18
18,24
24,18
24,19
19,24
19,13
13,19
25,19
19,25
25,20
20,25
20,14
14,20
14,21
21,14
26,21
21,26
26,20
20,26
27,21
21,27
28,22
22,28
28,34
34,28
34,27
27,34
30,24
24,30
30,36
36,30
31,24
24,31
36,31
31,36
31,25
25,31
32,25
25,32
32,26
26,32
26,33
33,26
27,33
33,27
39,34
34,39
33,39
39,33
38,33
33,38
38,32
32,38
37,32
32,37
31,37
37,31
43,36
36,43
37,43
43,37
42,36
36,42
48,42
42,48
48,43
43,48
48,54
54,48
55,48
48,55
60,55
55,60
60,54
54,60
61,55
55,61
61,56
56,61
62,56
56,62
57,62
62,57
57,63
63,57
63,58
58,63
64,58
58,64
59,64
64,59
65,59
59,65
59,53
53,59
59,52
52,59
58,52
52,58
58,51
51,58
57,51
51,57
56,50
50,56
57,50
50,57
55,49
49,55
56,49
49,56
44,49
49,44
49,43
43,49
44,37
37,44
44,38
38,44
50,44
44,50
45,38
38,45
50,45
45,50
46,39
39,46
45,39
39,45
51,45
45,51
51,46
46,51
46,40
40,46
34,40
40,34
52,46
46,52
